empleado_direccion,empleado_salario,empleado_numero_telefonico,empleado_id,empleado_nombre,empleado_identidad
direccion0,25277608,telefonico0,empleados0,nombre0,empleado0
direccion1,43488627,telefonico1,empleados1,nombre1,empleado1
direccion2,64108530,telefonico2,empleados2,nombre2,empleado2
direccion3,10349950,telefonico3,empleados3,nombre3,empleado3
direccion4,59308287,telefonico4,empleados4,nombre4,empleado4
direccion5,19182764,telefonico5,empleados5,nombre5,empleado5
direccion6,81095816,telefonico6,empleados6,nombre6,empleado6
direccion7,79760292,telefonico7,empleados7,nombre7,empleado7
direccion8,45276829,telefonico8,empleados8,nombre8,empleado8
direccion9,38612305,telefonico9,empleados9,nombre9,empleado9
direccion10,17869937,telefonico10,empleados10,nombre10,empleado10
direccion11,22280586,telefonico11,empleados11,nombre11,empleado11
direccion12,98635424,telefonico12,empleados12,nombre12,empleado12
direccion13,20672083,telefonico13,empleados13,nombre13,empleado13
direccion14,94797303,telefonico14,empleados14,nombre14,empleado14
direccion15,93038036,telefonico15,empleados15,nombre15,empleado15
direccion16,79968671,telefonico16,empleados16,nombre16,empleado16
direccion17,28335411,telefonico17,empleados17,nombre17,empleado17
direccion18,66624049,telefonico18,empleados18,nombre18,empleado18
direccion19,36877848,telefonico19,empleados19,nombre19,empleado19
